corrida,n_muestras,mejor_modelo_corrida,modelo,roc_auc,pr_auc,sensibilidad,especificidad,f1_clase_positiva,brier_score,accuracy
10k,10000,svm,svm,0.8350875289351852,0.4213089998977339,0.7720588235294118,0.7384259259259259,0.44967880085653106,0.16715822238629915,0.743
10k,10000,svm,arbol,0.7985174972766884,0.33039013619121893,0.4963235294117647,0.8784722222222222,0.4376012965964344,0.13837633632003665,0.8265
10k,10000,svm,gbm,0.8235613255718955,0.3938533808941077,0.30514705882352944,0.9450231481481481,0.3688888888888889,0.10076114995849378,0.858
10k,10000,svm,mlp,0.7843711703431373,0.32189056444469416,0.5551470588235294,0.828125,0.41944444444444445,0.1560747620101727,0.791
50k,50000,gbm,svm,0.8269459076107808,0.4142698158841036,0.778421433743664,0.7260703097807171,0.4463358937097779,0.1702914008415432,0.7333
50k,50000,gbm,arbol,0.7873905964787056,0.3223231218075905,0.5365677045619116,0.8207448659937348,0.40414507772020725,0.15411264475994274,0.7815
50k,50000,gbm,gbm,0.8269572074359739,0.41472840892765545,0.3787110789283128,0.9294581738020652,0.4164012738853503,0.1033062920717362,0.8534
50k,50000,gbm,mlp,0.7776224226842017,0.34791770578584347,0.43229543808834175,0.8873419190161271,0.40488301119023395,0.12523875517833988,0.8245
